,College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,,Projected_Demand,Current_Demand,Future_Demand
197,College of Engineering,Materials Science & Engr,Graduate,Doctor of Philosophy in Materials Science and Engineering,2020,18,Main,0,25.8692,25.8692
198,College of Engineering,Materials Science & Engr,Graduate,Master of Science in Materials Science and Engineering,2020,11,Main,0,25.8692,25.8692
199,College of Engineering,Materials Science & Engr,Graduate,Master of Science in Materials Science and Engineering,2020,11,Online,0,25.8692,25.8692
200,College of Engineering,Materials Science & Engr,Undergraduate,Major in Materials Science & Engineering,2020,61,Main,0,25.8692,25.8692
201,College of Engineering,Mining & Geological Engr,Graduate,"Doctor of Philosophy in Mining, Geological and Geophysical Engineering",2020,13,Main,0.138375,5.535,5.673375
202,College of Engineering,Mining & Geological Engr,Graduate,Fundamentals of Mine Operations and Economics,2020,12,Online,0.138375,5.535,5.673375
203,College of Engineering,Mining & Geological Engr,Graduate,Mine Production and Information Technology,2020,3,Online,0.138375,5.535,5.673375
204,College of Engineering,Mining & Geological Engr,Graduate,Mineral Processing and Extractive Metallurgy,2020,4,Online,0.138375,5.535,5.673375
205,College of Engineering,Mining & Geological Engr,Graduate,Rock Mechanics,2020,4,Online,0.138375,5.535,5.673375
206,College of Engineering,Mining & Geological Engr,Graduate,"Master of Science in Mining, Geological and Geophysical Engineering",2020,16,Main,0.138375,5.535,5.673375
207,College of Engineering,Mining & Geological Engr,Undergraduate,Major in Mining Engineering,2020,65,Main,0.138375,5.535,5.673375
208,College of Engineering,Systems and Industrial Engr,Graduate,Doctor of Philosophy in Systems and Industrial Engineering,2020,46,Main,21.08544,248.064,269.14944
209,College of Engineering,Systems and Industrial Engr,Graduate,Engineering Management,2020,1,Main,80.566596,732.4236,812.990196
210,College of Engineering,Systems and Industrial Engr,Graduate,Engineering Management,2020,5,Online,80.566596,732.4236,812.990196
211,College of Engineering,Systems and Industrial Engr,Graduate,Quality and Reliability Engineering,2020,2,Main,0,193.3206,193.3206
212,College of Engineering,Systems and Industrial Engr,Graduate,Quality and Reliability Engineering,2020,4,Online,0,193.3206,193.3206
213,College of Engineering,Systems and Industrial Engr,Graduate,Systems Engineering,2020,1,Online,0,84.2723,84.2723
214,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Cybersecurity,2020,65,Online,64.908162,590.0742,654.982362
215,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,26,Distance,80.566596,732.4236,812.990196
216,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,11,Main,80.566596,732.4236,812.990196
217,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Engineering Management,2020,39,Online,80.566596,732.4236,812.990196
218,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Industrial Engineering,2020,10,Main,21.08544,248.064,269.14944
219,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Industrial Engineering,2020,11,Online,21.08544,248.064,269.14944
220,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,3,Distance,0,84.2723,84.2723
221,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,11,Main,0,84.2723,84.2723
222,College of Engineering,Systems and Industrial Engr,Graduate,Master of Science in Systems Engineering,2020,47,Online,0,84.2723,84.2723
223,College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Engineering Management,2020,1,Distance,80.566596,732.4236,812.990196
224,College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Engineering Management,2020,53,Main,80.566596,732.4236,812.990196
225,College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Industrial Engineering,2020,112,Distance,21.08544,248.064,269.14944
226,College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Industrial Engineering,2020,118,Main,21.08544,248.064,269.14944
227,College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Systems Engineering,2020,38,Distance,0,84.2723,84.2723
228,College of Engineering,Systems and Industrial Engr,Undergraduate,Major in Systems Engineering,2020,124,Main,0,84.2723,84.2723
229,College of Fine Arts,"Art History, Div",Graduate,Master of Arts in Art History,2020,11,Main,0,14.3202,14.3202
230,College of Fine Arts,"Art History, Div",Undergraduate,Major in Art History,2020,45,Main,0,14.3202,14.3202
231,College of Fine Arts,"Art History, Div",Undergraduate,Major in Art History,2020,6,Main,0,14.3202,14.3202
232,College of Fine Arts,Fine Arts Administration,Undergraduate,No Major Selected Fine Arts,2020,2,Main,0,14.3202,14.3202
233,College of Fine Arts,Sch Theatre Film & Television,Graduate,Master of Fine Arts in Theatre Arts,2020,10,Main,0,14.3202,14.3202
234,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,261,Main,0,93.7078,93.7078
235,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,16,Main,0,93.7078,93.7078
236,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Film and Television,2020,49,Main,0,93.7078,93.7078
237,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Musical Theatre,2020,41,Main,0,32.2595,32.2595
238,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,106,Main,0,1.1401,1.1401
239,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Arts,2020,5,Main,0,1.1401,1.1401
240,College of Fine Arts,Sch Theatre Film & Television,Undergraduate,Major in Theatre Production,2020,95,Main,0,1.1401,1.1401
241,College of Fine Arts,School of Art,Graduate,Doctor of Philosophy in Art History & Education,2020,27,Main,0,1.1401,1.1401
242,College of Fine Arts,School of Art,Graduate,Museum Studies,2020,2,Main,0.511938,6.0228,6.534738
243,College of Fine Arts,School of Art,Graduate,Master of Arts in Art Education,2020,1,Main,7.076454,83.2524,90.328854
244,College of Fine Arts,School of Art,Graduate,Master of Arts in Art and Visual Culture Education,2020,7,Main,7.076454,83.2524,90.328854
245,College of Fine Arts,School of Art,Graduate,Master of Fine Arts in Art,2020,36,Main,7.076454,83.2524,90.328854
246,College of Fine Arts,School of Art,Undergraduate,Major in Art Education,2020,2,Main,7.076454,83.2524,90.328854
247,College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,33,Main,7.076454,83.2524,90.328854
248,College of Fine Arts,School of Art,Undergraduate,Major in Art and Visual Culture Education,2020,2,Main,7.076454,83.2524,90.328854
249,College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,161,Main,0,1.6248,1.6248
250,College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,10,Main,0,1.6248,1.6248
251,College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,264,Main,0,1.6248,1.6248
252,College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,3,Main,0,1.6248,1.6248
253,College of Fine Arts,School of Dance,Graduate,Master of Fine Arts in Dance,2020,9,Main,0,1.6248,1.6248
254,College of Fine Arts,School of Dance,Undergraduate,Major in Dance,2020,144,Main,0,0.22834,0.22834
255,College of Fine Arts,School of Music,Graduate,Doctor of Musical Arts in Music,2020,95,Main,0,32.2595,32.2595
256,College of Fine Arts,School of Music,Graduate,Doctor of Philosophy in Music,2020,15,Main,0,32.2595,32.2595
257,College of Fine Arts,School of Music,Graduate,Master of Music in Music,2020,51,Main,0,32.2595,32.2595
258,College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,73,Main,0,32.2595,32.2595
259,College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,2,Main,0,32.2595,32.2595
260,College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,85,Main,0,32.2595,32.2595
261,College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,3,Main,0,32.2595,32.2595
262,College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,131,Main,0.2730625,3.2125,3.4855625
263,College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,3,Main,0.2730625,3.2125,3.4855625
264,College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,33,Main,0.822562,9.6772,10.499762
265,College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,6,Online,0.822562,9.6772,10.499762
266,College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,13,Main,0.822562,9.6772,10.499762
267,College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,10,Distance,0.822562,9.6772,10.499762
268,College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,533,Main,0.822562,9.6772,10.499762
269,College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,275,Online,0.822562,9.6772,10.499762
270,College of Humanities,College of Humanities,Undergraduate,Major in Global Studies,2020,100,Main,0.822562,9.6772,10.499762
271,College of Humanities,College of Humanities,Undergraduate,CESL University Track,2020,59,Community,0.822562,9.6772,10.499762
272,College of Humanities,College of Humanities,Undergraduate,No Major Selected Humanities,2020,3,Main,15.36975,139.725,155.09475
273,College of Humanities,East Asian Studies,Graduate,Doctor of Philosophy in East Asian Studies,2020,43,Main,0.8228,9.6772,10.5
274,College of Humanities,East Asian Studies,Graduate,Master of Arts in East Asian Studies,2020,14,Main,0.8228,9.6772,10.5
275,College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,138,Main,0.8228,9.6772,10.5
276,College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,39,Main,0.8228,9.6772,10.5
277,College of Humanities,French and Italian,Graduate,Master of Arts in French,2020,14,Main,0.8228,9.6772,10.5
278,College of Humanities,French and Italian,Undergraduate,Major in French,2020,85,Main,0.8228,9.6772,10.5
279,College of Humanities,French and Italian,Undergraduate,Major in French,2020,42,Main,0.8228,9.6772,10.5
280,College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,37,Main,0.8228,9.6772,10.5
281,College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,18,Main,0.8228,9.6772,10.5
282,College of Humanities,German Studies,Graduate,Doctor of Philosophy in Transcultural German Studies,2020,8,Main,0.8228,9.6772,10.5
283,College of Humanities,German Studies,Graduate,Master of Arts in German Studies,2020,6,Main,0.8228,9.6772,10.5
284,College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,59,Main,0.8228,9.6772,10.5
285,College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,17,Main,0.8228,9.6772,10.5
286,College of Humanities,Public & Applied Humanities,Graduate,Master of Arts in Second Language Learning and Educational Technology,2020,1,Online,1.839808,21.6448,23.484608
287,College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,92,Main,14.63836,172.216,186.85436
288,College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,5,Main,14.63836,172.216,186.85436
289,College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,2,Main,2.763485,55.2697,58.033185
290,College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,1,Main,2.763485,55.2697,58.033185
291,College of Humanities,Religious Studies and Classics,Graduate,Master of Arts in Classics,2020,17,Main,0,14.3202,14.3202
292,College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,62,Main,0,14.3202,14.3202
293,College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,38,Main,0,14.3202,14.3202
294,College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,37,Main,3.244395,64.8879,68.132295
295,College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,15,Main,3.244395,64.8879,68.132295
296,College of Humanities,Russian and Slavic Studies,Graduate,Master of Arts in Russian,2020,15,Main,0.8228,9.6772,10.5
297,College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,34,Main,0.8228,9.6772,10.5
298,College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,26,Main,0.8228,9.6772,10.5
299,College of Humanities,Spanish and Portuguese,Graduate,Doctor of Philosophy in Spanish,2020,33,Main,0.8228,9.6772,10.5
300,College of Humanities,Spanish and Portuguese,Graduate,Master of Arts in Spanish,2020,24,Main,0.8228,9.6772,10.5
301,College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,276,Main,0.8228,9.6772,10.5
302,College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,105,Main,0.8228,9.6772,10.5
303,College of Medicine - Phoenix,COM Phoenix Academic Affairs,Graduate,Master of Medical Studies,2020,10,Phoenix,19.110916,173.7356,192.846516
304,College of Medicine - Phoenix,College of Medicine - Phoenix,Medical School,Major in Medicine,2020,336,Phoenix,74.108321,871.8626,945.970921
305,College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Doctor of Philosophy in Cellular & Molecular Medicine,2020,2,Main,1.240643,14.5958,15.836443
306,College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Biomedical Sciences,2020,2,Main,0.8855,17.71,18.5955
307,College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Master of Science in Cellular & Molecular Medicine,2020,61,Main,1.240643,14.5958,15.836443
308,College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Master of Science in Genetic Counseling,2020,5,Main,1.870365,37.4073,39.277665
309,College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Doctor of Philosophy in Clinical Translational Science,2020,15,Main,19.110916,173.7356,192.846516
310,College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Doctor of Philosophy in Clinical Translational Science,2020,13,Phoenix,19.110916,173.7356,192.846516
311,College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Foundations for Biomedical Science PhDs Serving Indigenous Cultures,2020,4,Main,0.8855,17.71,18.5955
312,College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Master of Science in Clinical Translational Science,2020,5,Main,19.110916,173.7356,192.846516
313,College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Master of Science in Clinical Translational Science,2020,15,Phoenix,19.110916,173.7356,192.846516
314,College of Medicine - Tucson,College of Medicine - Tucson,Medical School,Major in Medicine,2020,511,Main,74.108321,871.8626,945.970921
315,College of Medicine - Tucson,Dept of Emergency Medicine,Undergraduate,Major in Emergency Medical Services,2020,10,Main,74.108321,871.8626,945.970921
316,College of Medicine - Tucson,Family and Community Medicine,Undergraduate,Developmental Disabilities,2020,6,Main,1.3104375,52.4175,53.7279375
317,College of Medicine - Tucson,Immunobiology,Graduate,Doctor of Philosophy in Immunobiology,2020,2,Main,74.108321,871.8626,945.970921
318,College of Medicine - Tucson,Immunobiology,Graduate,Doctor of Philosophy in Molecular Medicine,2020,21,Main,1.240643,14.5958,15.836443
319,College of Medicine - Tucson,Immunobiology,Graduate,Microbiology and Immunity,2020,7,Main,74.108321,871.8626,945.970921
320,College of Medicine - Tucson,Pharmacology,Graduate,Doctor of Philosophy in Medical Pharmacology,2020,20,Main,0,396.0168,396.0168
321,College of Medicine - Tucson,Pharmacology,Graduate,Master of Science in Medical Pharmacology,2020,13,Main,0,396.0168,396.0168
322,College of Medicine - Tucson,Physiology-Undergraduate Prog,Undergraduate,Major in Physiology,2020,1084,Main,0.670072,7.8832,8.553272
323,College of Medicine - Tucson,Physiology-Undergraduate Prog,Undergraduate,Major in Physiology and Medical Sciences,2020,595,Main,0.670072,7.8832,8.553272
324,College of Nursing,College of Nursing,Graduate,Doctor of Nursing Practice in Nursing,2020,10,Main,5.577891,50.7081,56.285991
325,College of Nursing,College of Nursing,Graduate,Doctor of Nursing Practice in Nursing,2020,377,Online,5.577891,50.7081,56.285991
326,College of Nursing,College of Nursing,Graduate,Doctor of Philosophy in Nursing,2020,65,Main,5.577891,50.7081,56.285991
327,College of Nursing,College of Nursing,Graduate,Adult-Gerontology Acute Care Nurse Practitioner,2020,8,Online,5.577891,50.7081,56.285991
328,College of Nursing,College of Nursing,Graduate,Family Nurse Practitioner,2020,1,Online,5.577891,50.7081,56.285991
329,College of Nursing,College of Nursing,Graduate,Nursing Rural Telehealth,2020,6,Online,5.577891,50.7081,56.285991
330,College of Nursing,College of Nursing,Graduate,Pediatric Nurse Practitioner,2020,2,Online,5.577891,50.7081,56.285991
331,College of Nursing,College of Nursing,Graduate,Psychiatric Mental Health Nurse Practitioner,2020,11,Online,1.990076,18.0916,20.081676
332,College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,70,Main,5.577891,50.7081,56.285991
333,College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,164,Online,5.577891,50.7081,56.285991
334,College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,59,Phoenix,5.577891,50.7081,56.285991
335,College of Nursing,College of Nursing,Undergraduate,Major in Nursing,2020,48,Distance,5.577891,50.7081,56.285991
336,College of Nursing,College of Nursing,Undergraduate,Major in Nursing,2020,266,Main,5.577891,50.7081,56.285991
337,College of Nursing,College of Nursing,Undergraduate,Pre-Nursing,2020,596,Main,5.577891,50.7081,56.285991
338,College of Pharmacy,College of Pharmacy,Pharmacy,Major in Pharmacy,2020,345,Main,0,396.0168,396.0168
339,College of Pharmacy,College of Pharmacy,Pharmacy,Major in Pharmacy,2020,137,Phoenix,0,396.0168,396.0168
340,College of Pharmacy,Pharmaceutical Sciences,Graduate,Doctor of Philosophy in Pharmaceutical Sciences,2020,30,Main,0,396.0168,396.0168
341,College of Pharmacy,Pharmaceutical Sciences,Graduate,Master of Science in Pharmaceutical Sciences,2020,3,Main,0,396.0168,396.0168
342,College of Pharmacy,Pharmacology and Toxicology,Graduate,Doctor of Philosophy in Pharmacology and Toxicology,2020,15,Main,0,396.0168,396.0168
343,College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Major in Pharmaceutical Sciences,2020,66,Main,0,396.0168,396.0168
344,College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Major in Pharmaceutical Sciences,2020,2,Main,0,396.0168,396.0168
345,College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Pre-Pharmaceutical Sciences,2020,291,Main,0,396.0168,396.0168
346,College of Public Health,College of Public Health,Graduate,Doctor of Philosophy in Health Behavior Health Promotion,2020,21,Main,2.857394,33.6164,36.473794
347,College of Public Health,College of Public Health,Graduate,Master of Science in Public Health in Health Behavior Health Promotion,2020,1,Main,3.57798,71.5596,75.13758
348,College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Biostatistics,2020,13,Main,4.248552,38.6232,42.871752
349,College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Environmental Health Sciences,2020,15,Main,5.1391425,60.4605,65.5996425
350,College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Epidemiology,2020,23,Main,0.27864,5.5728,5.85144
351,College of Public Health,Public Health Administration,Graduate,Major in Public Health,2020,31,Main,3.57798,71.5596,75.13758
352,College of Public Health,Public Health Administration,Graduate,Clinical and Translational Research,2020,6,Main,19.110916,173.7356,192.846516
353,College of Public Health,Public Health Administration,Graduate,Global Health & Development,2020,3,Online,43.842546,398.5686,442.411146
354,College of Public Health,Public Health Administration,Graduate,Health Administration,2020,1,Main,43.842546,398.5686,442.411146
355,College of Public Health,Public Health Administration,Graduate,Public Health,2020,10,Online,43.842546,398.5686,442.411146
356,College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,3,Distance,9.58716,87.156,96.74316
357,College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,178,Main,9.58716,87.156,96.74316
358,College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,262,Online,9.58716,87.156,96.74316
359,College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,74,Phoenix,4.248552,38.6232,42.871752
360,College of Public Health,Public Health Administration,Graduate,Master of Science in Biostatistics,2020,8,Main,4.248552,38.6232,42.871752
361,College of Public Health,Public Health Administration,Graduate,Master of Science in Environmental Health Sciences,2020,5,Main,5.1391425,60.4605,65.5996425
362,College of Public Health,Public Health Administration,Graduate,Master of Science in Epidemiology,2020,9,Main,0.27864,5.5728,5.85144
363,College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,324,Main,9.58716,87.156,96.74316
364,College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,48,Online,9.58716,87.156,96.74316
365,College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,1,Main,9.58716,87.156,96.74316
366,College of Public Health,Public Health Administration,Undergraduate,Pre-Public Health,2020,639,Main,9.58716,87.156,96.74316
367,College of Public Health,Public Health Administration,Undergraduate,Pre-Public Health,2020,70,Online,9.58716,87.156,96.74316
368,College of Science,Astronomy,Graduate,Doctor of Philosophy in Astronomy and Astrophysics,2020,49,Main,0.10568,2.1136,2.21928
369,College of Science,Astronomy,Graduate,Master of Science in Astronomy and Astrophysics,2020,1,Main,0.10568,2.1136,2.21928
370,College of Science,Astronomy,Undergraduate,Major in Astronomy,2020,187,Main,0.10568,2.1136,2.21928
371,College of Science,Astronomy,Undergraduate,Major in Astronomy,2020,64,Main,0.10568,2.1136,2.21928
372,College of Science,Chemistry,Graduate,Doctor of Philosophy in Chemistry,2020,123,Main,3.38316,67.6632,71.04636
373,College of Science,Chemistry,Graduate,Master of Arts in Chemistry,2020,1,Main,3.38316,67.6632,71.04636
374,College of Science,Chemistry,Graduate,Master of Science in Chemistry,2020,8,Main,3.38316,67.6632,71.04636
375,College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,21,Main,3.38316,67.6632,71.04636
376,College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,3,Main,3.38316,67.6632,71.04636
377,College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,208,Main,3.38316,67.6632,71.04636
378,College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,11,Main,3.38316,67.6632,71.04636
379,College of Science,Chemistry & Biochemistry - Sci,Graduate,Doctor of Philosophy in Biochemistry,2020,38,Main,1.3992,27.984,29.3832
380,College of Science,Chemistry & Biochemistry - Sci,Graduate,Master of Science in Biochemistry,2020,3,Main,1.3992,27.984,29.3832
381,College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,89,Main,1.3992,27.984,29.3832
382,College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,2,Main,1.3992,27.984,29.3832
383,College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,374,Main,1.3992,27.984,29.3832
384,College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,14,Main,1.3992,27.984,29.3832
385,College of Science,College of Science,Graduate,Dendrochronology,2020,1,Main,0.3713395,4.3687,4.7400395
386,College of Science,College of Science,Graduate,Egyptian Archaeology,2020,1,Main,0.3713395,4.3687,4.7400395
387,College of Science,College of Science,Graduate,Science Communication,2020,12,Main,15.7536,315.072,330.8256
388,College of Science,Computer Science,Graduate,Doctor of Philosophy in Computer Science,2020,48,Main,64.908162,590.0742,654.982362
389,College of Science,Computer Science,Graduate,Master of Science in Computer Science,2020,43,Main,64.908162,590.0742,654.982362
390,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,44,Main,64.908162,590.0742,654.982362
391,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,6,Main,64.908162,590.0742,654.982362
392,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,3,Distance,64.908162,590.0742,654.982362
393,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,456,Main,64.908162,590.0742,654.982362
394,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,7,South,64.908162,590.0742,654.982362
395,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,27,Main,64.908162,590.0742,654.982362
396,College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,1,South,64.908162,590.0742,654.982362
397,College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,164,Main,1.6444,32.888,34.5324
398,College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,16,Distance,1.6444,32.888,34.5324
399,College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,823,Main,1.6444,32.888,34.5324
400,College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,7,South,1.6444,32.888,34.5324
401,College of Science,Computer Science,Undergraduate,Pre-Computer Sciences,2020,72,Main,1.6444,32.888,34.5324
402,College of Science,Ecology & Evolutionary Biology,Graduate,Doctor of Philosophy in Ecology and Evolutionary Biology,2020,40,Main,5.1391425,60.4605,65.5996425
403,College of Science,Ecology & Evolutionary Biology,Graduate,Master of Science in Ecology and Evolutionary Biology,2020,7,Main,5.1391425,60.4605,65.5996425
404,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Bioinformatics,2020,29,Main,1.870365,37.4073,39.277665
405,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Bioinformatics,2020,3,Main,1.870365,37.4073,39.277665
406,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Biology,2020,855,Main,4.57545,91.509,96.08445
407,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Biology,2020,5,Main,4.57545,91.509,96.08445
408,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,11,Main,5.1391425,60.4605,65.5996425
409,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,105,Main,5.1391425,60.4605,65.5996425
410,College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,7,Main,5.1391425,60.4605,65.5996425
411,College of Science,Geosciences,Graduate,Doctor of Philosophy in Geosciences,2020,39,Main,1.412515,28.2503,29.662815
412,College of Science,Geosciences,Graduate,Master of Science in Geosciences,2020,22,Main,1.412515,28.2503,29.662815
413,College of Science,Geosciences,Graduate,Professional Science Masters in Economic Geology,2020,3,Main,1.412515,28.2503,29.662815
414,College of Science,Geosciences,Undergraduate,Major in Geosciences,2020,209,Main,1.412515,28.2503,29.662815
415,College of Science,Geosciences,Undergraduate,Major in Geosciences,2020,2,Main,1.412515,28.2503,29.662815
416,College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Atmospheric Sciences,2020,13,Main,1.412515,28.2503,29.662815
417,College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Hydrology,2020,21,Main,0.4722515,5.5559,6.0281515
418,College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Hydrometeorology,2020,5,Main,1.412515,28.2503,29.662815
419,College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Atmospheric Sciences,2020,10,Main,0.799935,9.411,10.210935
420,College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Hydrology,2020,32,Main,0.4722515,5.5559,6.0281515
421,College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Hydrometeorology,2020,4,Main,1.412515,28.2503,29.662815
422,College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Environmental Hydrology and Water Resources,2020,15,Main,0.4722515,5.5559,6.0281515
423,College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Hydrology and Atmospheric Sciences,2020,26,Main,1.412515,28.2503,29.662815
424,College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Hydrology and Atmospheric Sciences,2020,1,Main,1.412515,28.2503,29.662815
425,College of Science,Hydrology & Atmospheric Sci,Undergraduate,Groundwater,2020,1,Main,3.96352,79.2704,83.23392
426,College of Science,Hydrology and Water Resources,Graduate,Hydrology and Water Resources,2020,1,Main,3.96352,79.2704,83.23392
427,College of Science,Mathematics,Graduate,Doctor of Philosophy in Mathematics,2020,54,Main,3.96352,79.2704,83.23392
428,College of Science,Mathematics,Graduate,Master of Science in Mathematics,2020,8,Main,0.33627,3.057,3.39327
429,College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,68,Main,0.33627,3.057,3.39327
