,College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,,Projected_Demand,Current_Demand,Future_Demand
44,College of Agric and Life Sci,CALS Administration,Undergraduate,No Major Selected Ag Life Sci,2020,34,Main,0.60249,12.0498,12.65229
45,College of Agric and Life Sci,CALS Administration,Undergraduate,No Major Selected Ag Life Sci,2020,174,Online,0.60249,12.0498,12.65229
46,College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,2,Main,0.60249,12.0498,12.65229
47,College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,1,Online,0.60249,12.0498,12.65229
48,College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,1,South,0.60249,12.0498,12.65229
49,College of Agric and Life Sci,Environmental  Science,Graduate,"Doctor of Philosophy in Soil, Water and Environmental Science",2020,31,Main,0.73572,14.7144,15.45012
50,College of Agric and Life Sci,Environmental  Science,Graduate,"Master of Science in Soil, Water and Environmental Science",2020,22,Main,0.73572,14.7144,15.45012
51,College of Agric and Life Sci,Environmental  Science,Undergraduate,Major in Environmental Science,2020,223,Main,1.3735575,16.1595,17.5330575
52,College of Agric and Life Sci,Environmental  Science,Undergraduate,Major in Environmental Science,2020,2,Online,1.3735575,16.1595,17.5330575
53,College of Agric and Life Sci,"Family & Consumer Sci, Sch",Graduate,Doctor of Philosophy in Family and Consumer Sciences,2020,16,Main,3.030445,27.5495,30.579945
54,College of Agric and Life Sci,"Family & Consumer Sci, Sch",Graduate,Master of Science in Family and Consumer Sciences,2020,2,Main,3.030445,27.5495,30.579945
55,College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,34,Distance,21.708745,255.397,277.105745
56,College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,167,Main,21.708745,255.397,277.105745
57,College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,3,South,21.708745,255.397,277.105745
58,College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,2,Main,21.708745,255.397,277.105745
59,College of Agric and Life Sci,Family Studies and Human Dev,Undergraduate,Pre-Family Studies & Human Development,2020,15,Distance,13.37203,157.318,170.69003
60,College of Agric and Life Sci,Family Studies and Human Dev,Undergraduate,Pre-Family Studies & Human Development,2020,222,Main,13.37203,157.318,170.69003
61,College of Agric and Life Sci,Family Studies and Human Dev,Undergraduate,Pre-Family Studies & Human Development,2020,2,South,13.37203,157.318,170.69003
62,College of Agric and Life Sci,Family and Consumer Sciences,Undergraduate,Major in Personal and Family Financial Planning,2020,63,Main,13.37203,157.318,170.69003
63,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Graduate,Doctor of Philosophy in Natural Resources,2020,42,Main,3.96352,79.2704,83.23392
64,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Graduate,Master of Science in Natural Resources,2020,23,Main,3.96352,79.2704,83.23392
65,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Graduate,"Master of Science in Water, Society & Policy",2020,11,Main,3.96352,79.2704,83.23392
66,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Major in Natural Resource,2020,12,Main,3.96352,79.2704,83.23392
67,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Major in Natural Resources,2020,259,Main,3.96352,79.2704,83.23392
68,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Geographic Information Science,2020,8,Main,31.6892835,372.8151,404.5043835
69,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,International Environmental Conservation,2020,3,Main,5.1391425,60.4605,65.5996425
70,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Rangeland Management,2020,2,Main,0.73572,14.7144,15.45012
71,College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Zoo and Aquarium Conservation,2020,31,Main,0.73572,14.7144,15.45012
72,College of Agric and Life Sci,Nutritional Sciences,Graduate,Doctor of Philosophy in Nutritional Sciences,2020,12,Main,4.714897,42.8627,47.577597
73,College of Agric and Life Sci,Nutritional Sciences,Graduate,Applied Nutrition,2020,2,Online,4.714897,42.8627,47.577597
74,College of Agric and Life Sci,Nutritional Sciences,Graduate,Master of Science in Nutritional Sciences,2020,4,Main,4.714897,42.8627,47.577597
75,College of Agric and Life Sci,Nutritional Sciences,Graduate,Professional Science Masters in Applied Nutrition,2020,10,Online,4.714897,42.8627,47.577597
76,College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutrition and Food Systems,2020,36,Main,4.714897,42.8627,47.577597
77,College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutrition and Food Systems,2020,1,Main,4.714897,42.8627,47.577597
78,College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,7,Distance,4.714897,42.8627,47.577597
79,College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,616,Main,4.714897,42.8627,47.577597
80,College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,20,Online,4.714897,42.8627,47.577597
81,College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,9,Main,4.714897,42.8627,47.577597
82,College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Doctor of Philosophy in Plant Pathology,2020,6,Main,0.978435,11.511,12.489435
83,College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Doctor of Philosophy in Plant Science,2020,15,Main,0.978435,11.511,12.489435
84,College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Master of Science in Plant Pathology,2020,1,Main,0.978435,11.511,12.489435
85,College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Master of Science in Plant Science,2020,7,Main,0.978435,11.511,12.489435
86,College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Plant Sciences,2020,49,Main,0.978435,11.511,12.489435
87,College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Plant Sciences,2020,5,Main,0.978435,11.511,12.489435
88,College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Sustainable Plant Systems,2020,3,Main,0.978435,11.511,12.489435
89,College of Agric and Life Sci,Retailing & Consumer Sciences,Undergraduate,Major in Retailing and Consumer Science,2020,179,Main,-5.4216,271.08,265.6584
90,College of Agric and Life Sci,Retailing & Consumer Sciences,Undergraduate,Pre-Retailing & Consumer Science,2020,297,Main,-5.4216,271.08,265.6584
91,College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Instructional Design and Technology,2020,7,Online,-5.4216,271.08,265.6584
92,College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Master of Education in Secondary Education,2020,28,South,-0.718642,35.9321,35.213458
93,College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Master of Science in Educational Technology,2020,5,Online,1.1598125,46.3925,47.5523125
94,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,66,Distance,-1.338624,66.9312,65.592576
95,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,397,Online,-1.338624,66.9312,65.592576
96,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,250,South,-1.338624,66.9312,65.592576
97,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,1,Online,-1.338624,66.9312,65.592576
98,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Commerce,2020,3,South,58.0392,1160.784,1218.8232
99,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,28,Distance,58.0392,1160.784,1218.8232
100,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,125,Online,58.0392,1160.784,1218.8232
101,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,41,South,58.0392,1160.784,1218.8232
102,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,1,South,58.0392,1160.784,1218.8232
103,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Elementary Education,2020,43,South,20.875455,835.0182,855.893655
104,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,21,Online,7.90398,92.988,100.89198
105,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,21,South,7.90398,92.988,100.89198
106,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,1,South,7.90398,92.988,100.89198
107,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,3,Distance,-9.97296,498.648,488.67504
108,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,25,Online,-9.97296,498.648,488.67504
109,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,12,South,-9.97296,498.648,488.67504
110,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,1,Distance,58.0392,1160.784,1218.8232
111,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,25,Online,58.0392,1160.784,1218.8232
112,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,28,South,58.0392,1160.784,1218.8232
113,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,11,Distance,58.0392,1160.784,1218.8232
114,College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,20,Main,58.0392,1160.784,1218.8232
