College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Geographic Information Science,2020,8,Main
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,International Environmental Conservation,2020,3,Main
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Rangeland Management,2020,2,Main
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Zoo and Aquarium Conservation,2020,31,Main
College of Agric and Life Sci,Nutritional Sciences,Graduate,Doctor of Philosophy in Nutritional Sciences,2020,12,Main
College of Agric and Life Sci,Nutritional Sciences,Graduate,Master of Science in Nutritional Sciences,2020,4,Main
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutrition and Food Systems,2020,36,Main
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutrition and Food Systems,2020,1,Main
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,616,Main
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,9,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Doctor of Philosophy in Plant Pathology,2020,6,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Doctor of Philosophy in Plant Science,2020,15,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Master of Science in Plant Pathology,2020,1,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Master of Science in Plant Science,2020,7,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Plant Sciences,2020,49,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Plant Sciences,2020,5,Main
College of Agric and Life Sci,"Plant Sciences, Sch",Undergraduate,Major in Sustainable Plant Systems,2020,3,Main
College of Agric and Life Sci,Retailing & Consumer Sciences,Undergraduate,Major in Retailing and Consumer Science,2020,476,Main
College of Agric and Life Sci,Agricultural Education,Graduate,Master of Science in Agricultural Education,2020,13,Online
College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,1,Online
College of Agric and Life Sci,Environmental  Science,Undergraduate,Major in Environmental Science,2020,2,Online
College of Agric and Life Sci,Nutritional Sciences,Graduate,Applied Nutrition,2020,2,Online
College of Agric and Life Sci,Nutritional Sciences,Graduate,Professional Science Masters in Applied Nutrition,2020,10,Online
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,20,Online
College of Agric and Life Sci,College of Agric and Life Sci,Graduate,Military Families,2020,1,South
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,5,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,66,Distance
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,28,Distance
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,3,Distance
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,1,Distance
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,11,Distance
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,20,Main
College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Instructional Design and Technology,2020,7,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Master of Science in Educational Technology,2020,5,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,397,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,1,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,125,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,21,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,25,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,25,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,50,Online
College of Applied Sci & Tech,College of Applied Sci & Tech,Graduate,Master of Education in Secondary Education,2020,28,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Applied Science,2020,250,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Commerce,2020,3,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,41,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Cyber Operations,2020,1,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Elementary Education,2020,43,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,21,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Government and Public Service,2020,1,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Major in Organizational Leadership and Regional Commerce,2020,12,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cyber Operations,2020,28,South
College of Applied Sci & Tech,College of Applied Sci & Tech,Undergraduate,Cybersecurity,2020,24,South
College of Education,Disability Psychoeduc Studies,Graduate,Educational Specialist in School Psychology,2020,51,Distance
