College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus,Demand
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,264,Main,1.6248
College of Fine Arts,School of Art,Undergraduate,Major in Studio Art,2020,3,Main,1.6248
College of Fine Arts,School of Dance,Graduate,Master of Fine Arts in Dance,2020,9,Main,1.6248
College of Fine Arts,School of Dance,Undergraduate,Major in Dance,2020,144,Main,0.22834
College of Fine Arts,School of Music,Graduate,Doctor of Musical Arts in Music,2020,95,Main,32.2595
College of Fine Arts,School of Music,Graduate,Doctor of Philosophy in Music,2020,15,Main,32.2595
College of Fine Arts,School of Music,Graduate,Master of Music in Music,2020,51,Main,32.2595
College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,73,Main,32.2595
College of Fine Arts,School of Music,Undergraduate,Major in Music,2020,2,Main,32.2595
College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,85,Main,32.2595
College of Fine Arts,School of Music,Undergraduate,Major in Music Education,2020,3,Main,32.2595
College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,131,Main,3.4855625
College of Fine Arts,School of Music,Undergraduate,Major in Performance,2020,3,Main,3.4855625
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,33,Main,10.499762
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,6,Online,10.499762
College of Humanities,Africana Studies,Undergraduate,Major in Africana Studies,2020,13,Main,10.499762
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,10,Distance,10.499762
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,533,Main,10.499762
College of Humanities,College of Humanities,Undergraduate,Major in General Studies,2020,275,Online,10.499762
College of Humanities,College of Humanities,Undergraduate,Major in Global Studies,2020,100,Main,10.499762
College of Humanities,College of Humanities,Undergraduate,CESL University Track,2020,59,Community,10.499762
College of Humanities,College of Humanities,Undergraduate,No Major Selected Humanities,2020,3,Main,155.09475
College of Humanities,East Asian Studies,Graduate,Doctor of Philosophy in East Asian Studies,2020,43,Main,10.5
College of Humanities,East Asian Studies,Graduate,Master of Arts in East Asian Studies,2020,14,Main,10.5
College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,138,Main,10.5
College of Humanities,East Asian Studies,Undergraduate,Major in East Asian Studies,2020,39,Main,10.5
College of Humanities,French and Italian,Graduate,Master of Arts in French,2020,14,Main,10.5
College of Humanities,French and Italian,Undergraduate,Major in French,2020,85,Main,10.5
College of Humanities,French and Italian,Undergraduate,Major in French,2020,42,Main,10.5
College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,37,Main,10.5
College of Humanities,French and Italian,Undergraduate,Major in Italian,2020,18,Main,10.5
College of Humanities,German Studies,Graduate,Doctor of Philosophy in Transcultural German Studies,2020,8,Main,10.5
College of Humanities,German Studies,Graduate,Master of Arts in German Studies,2020,6,Main,10.5
College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,59,Main,10.5
College of Humanities,German Studies,Undergraduate,Major in German Studies,2020,17,Main,10.5
College of Humanities,Public & Applied Humanities,Graduate,Master of Arts in Second Language Learning and Educational Technology,2020,1,Online,23.484608
College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,92,Main,186.85436
College of Humanities,Public & Applied Humanities,Undergraduate,Major in Applied Humanities,2020,5,Main,186.85436
College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,2,Main,58.033185
College of Humanities,Public & Applied Humanities,Undergraduate,Major in World Literature,2020,1,Main,58.033185
College of Humanities,Religious Studies and Classics,Graduate,Master of Arts in Classics,2020,17,Main,14.3202
College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,62,Main,14.3202
College of Humanities,Religious Studies and Classics,Undergraduate,Major in Classics,2020,38,Main,14.3202
College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,37,Main,68.132295
College of Humanities,"Religious Studies, Cmt",Undergraduate,Major in Religious Studies,2020,15,Main,68.132295
College of Humanities,Russian and Slavic Studies,Graduate,Master of Arts in Russian,2020,15,Main,10.5
College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,34,Main,10.5
College of Humanities,Russian and Slavic Studies,Undergraduate,Major in Russian,2020,26,Main,10.5
College of Humanities,Spanish and Portuguese,Graduate,Doctor of Philosophy in Spanish,2020,33,Main,10.5
College of Humanities,Spanish and Portuguese,Graduate,Master of Arts in Spanish,2020,24,Main,10.5
College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,276,Main,10.5
College of Humanities,Spanish and Portuguese,Undergraduate,Major in Spanish,2020,105,Main,10.5
College of Medicine - Phoenix,COM Phoenix Academic Affairs,Graduate,Master of Medical Studies,2020,10,Phoenix,192.846516
College of Medicine - Phoenix,College of Medicine - Phoenix,Medical School,Major in Medicine,2020,336,Phoenix,945.970921
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Doctor of Philosophy in Cellular & Molecular Medicine,2020,2,Main,15.836443
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Biomedical Sciences,2020,2,Main,18.5955
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Master of Science in Cellular & Molecular Medicine,2020,61,Main,15.836443
College of Medicine - Tucson,Cellular & Molecular Medicine,Graduate,Master of Science in Genetic Counseling,2020,5,Main,39.277665
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Doctor of Philosophy in Clinical Translational Science,2020,15,Main,192.846516
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Doctor of Philosophy in Clinical Translational Science,2020,13,Phoenix,192.846516
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Foundations for Biomedical Science PhDs Serving Indigenous Cultures,2020,4,Main,18.5955
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Master of Science in Clinical Translational Science,2020,5,Main,192.846516
College of Medicine - Tucson,College of Medicine - Tucson,Graduate,Master of Science in Clinical Translational Science,2020,15,Phoenix,192.846516
College of Medicine - Tucson,College of Medicine - Tucson,Medical School,Major in Medicine,2020,511,Main,945.970921
College of Medicine - Tucson,Dept of Emergency Medicine,Undergraduate,Major in Emergency Medical Services,2020,10,Main,945.970921
College of Medicine - Tucson,Family and Community Medicine,Undergraduate,Developmental Disabilities,2020,6,Main,53.7279375
College of Medicine - Tucson,Immunobiology,Graduate,Doctor of Philosophy in Immunobiology,2020,2,Main,945.970921
College of Medicine - Tucson,Immunobiology,Graduate,Doctor of Philosophy in Molecular Medicine,2020,21,Main,15.836443
College of Medicine - Tucson,Immunobiology,Graduate,Microbiology and Immunity,2020,7,Main,945.970921
College of Medicine - Tucson,Pharmacology,Graduate,Doctor of Philosophy in Medical Pharmacology,2020,20,Main,396.0168
College of Medicine - Tucson,Pharmacology,Graduate,Master of Science in Medical Pharmacology,2020,13,Main,396.0168
College of Medicine - Tucson,Physiology-Undergraduate Prog,Undergraduate,Major in Physiology,2020,1084,Main,8.553272
College of Medicine - Tucson,Physiology-Undergraduate Prog,Undergraduate,Major in Physiology and Medical Sciences,2020,595,Main,8.553272
College of Nursing,College of Nursing,Graduate,Doctor of Nursing Practice in Nursing,2020,10,Main,56.285991
College of Nursing,College of Nursing,Graduate,Doctor of Nursing Practice in Nursing,2020,377,Online,56.285991
College of Nursing,College of Nursing,Graduate,Doctor of Philosophy in Nursing,2020,65,Main,56.285991
College of Nursing,College of Nursing,Graduate,Adult-Gerontology Acute Care Nurse Practitioner,2020,8,Online,56.285991
College of Nursing,College of Nursing,Graduate,Family Nurse Practitioner,2020,1,Online,56.285991
College of Nursing,College of Nursing,Graduate,Nursing Rural Telehealth,2020,6,Online,56.285991
College of Nursing,College of Nursing,Graduate,Pediatric Nurse Practitioner,2020,2,Online,56.285991
College of Nursing,College of Nursing,Graduate,Psychiatric Mental Health Nurse Practitioner,2020,11,Online,20.081676
College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,70,Main,56.285991
College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,164,Online,56.285991
College of Nursing,College of Nursing,Graduate,Master of Science in Nursing,2020,59,Phoenix,56.285991
College of Nursing,College of Nursing,Undergraduate,Major in Nursing,2020,48,Distance,56.285991
College of Nursing,College of Nursing,Undergraduate,Major in Nursing,2020,266,Main,56.285991
College of Nursing,College of Nursing,Undergraduate,Pre-Nursing,2020,596,Main,56.285991
College of Pharmacy,College of Pharmacy,Pharmacy,Major in Pharmacy,2020,345,Main,396.0168
College of Pharmacy,College of Pharmacy,Pharmacy,Major in Pharmacy,2020,137,Phoenix,396.0168
College of Pharmacy,Pharmaceutical Sciences,Graduate,Doctor of Philosophy in Pharmaceutical Sciences,2020,30,Main,396.0168
College of Pharmacy,Pharmaceutical Sciences,Graduate,Master of Science in Pharmaceutical Sciences,2020,3,Main,396.0168
College of Pharmacy,Pharmacology and Toxicology,Graduate,Doctor of Philosophy in Pharmacology and Toxicology,2020,15,Main,396.0168
College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Major in Pharmaceutical Sciences,2020,66,Main,396.0168
College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Major in Pharmaceutical Sciences,2020,2,Main,396.0168
College of Pharmacy,Pharmacology and Toxicology,Undergraduate,Pre-Pharmaceutical Sciences,2020,291,Main,396.0168
College of Public Health,College of Public Health,Graduate,Doctor of Philosophy in Health Behavior Health Promotion,2020,21,Main,36.473794
College of Public Health,College of Public Health,Graduate,Master of Science in Public Health in Health Behavior Health Promotion,2020,1,Main,75.13758
College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Biostatistics,2020,13,Main,42.871752
College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Environmental Health Sciences,2020,15,Main,65.5996425
College of Public Health,Public Health Administration,Graduate,Doctor of Philosophy in Epidemiology,2020,23,Main,5.85144
College of Public Health,Public Health Administration,Graduate,Major in Public Health,2020,31,Main,75.13758
College of Public Health,Public Health Administration,Graduate,Clinical and Translational Research,2020,6,Main,192.846516
College of Public Health,Public Health Administration,Graduate,Global Health & Development,2020,3,Online,442.411146
College of Public Health,Public Health Administration,Graduate,Health Administration,2020,1,Main,442.411146
College of Public Health,Public Health Administration,Graduate,Public Health,2020,10,Online,442.411146
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,3,Distance,96.74316
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,178,Main,96.74316
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,262,Online,96.74316
College of Public Health,Public Health Administration,Graduate,Master of Public Health,2020,74,Phoenix,42.871752
College of Public Health,Public Health Administration,Graduate,Master of Science in Biostatistics,2020,8,Main,42.871752
College of Public Health,Public Health Administration,Graduate,Master of Science in Environmental Health Sciences,2020,5,Main,65.5996425
College of Public Health,Public Health Administration,Graduate,Master of Science in Epidemiology,2020,9,Main,5.85144
College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,324,Main,96.74316
College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,48,Online,96.74316
College of Public Health,Public Health Administration,Undergraduate,Major in Public Health,2020,1,Main,96.74316
College of Public Health,Public Health Administration,Undergraduate,Pre-Public Health,2020,639,Main,96.74316
College of Public Health,Public Health Administration,Undergraduate,Pre-Public Health,2020,70,Online,96.74316
College of Science,Astronomy,Graduate,Doctor of Philosophy in Astronomy and Astrophysics,2020,49,Main,2.21928
College of Science,Astronomy,Graduate,Master of Science in Astronomy and Astrophysics,2020,1,Main,2.21928
College of Science,Astronomy,Undergraduate,Major in Astronomy,2020,187,Main,2.21928
College of Science,Astronomy,Undergraduate,Major in Astronomy,2020,64,Main,2.21928
College of Science,Chemistry,Graduate,Doctor of Philosophy in Chemistry,2020,123,Main,71.04636
College of Science,Chemistry,Graduate,Master of Arts in Chemistry,2020,1,Main,71.04636
College of Science,Chemistry,Graduate,Master of Science in Chemistry,2020,8,Main,71.04636
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,21,Main,71.04636
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,3,Main,71.04636
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,208,Main,71.04636
College of Science,Chemistry,Undergraduate,Major in Chemistry,2020,11,Main,71.04636
College of Science,Chemistry & Biochemistry - Sci,Graduate,Doctor of Philosophy in Biochemistry,2020,38,Main,29.3832
College of Science,Chemistry & Biochemistry - Sci,Graduate,Master of Science in Biochemistry,2020,3,Main,29.3832
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,89,Main,29.3832
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,2,Main,29.3832
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,374,Main,29.3832
College of Science,Chemistry & Biochemistry - Sci,Undergraduate,Major in Biochemistry,2020,14,Main,29.3832
College of Science,College of Science,Graduate,Dendrochronology,2020,1,Main,4.7400395
College of Science,College of Science,Graduate,Egyptian Archaeology,2020,1,Main,4.7400395
College of Science,College of Science,Graduate,Science Communication,2020,12,Main,330.8256
College of Science,Computer Science,Graduate,Doctor of Philosophy in Computer Science,2020,48,Main,654.982362
College of Science,Computer Science,Graduate,Master of Science in Computer Science,2020,43,Main,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,44,Main,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,6,Main,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,3,Distance,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,456,Main,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,7,South,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,27,Main,654.982362
College of Science,Computer Science,Undergraduate,Major in Computer Science,2020,1,South,654.982362
College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,164,Main,34.5324
College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,16,Distance,34.5324
College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,823,Main,34.5324
College of Science,Computer Science,Undergraduate,Pre-Computer Science,2020,7,South,34.5324
College of Science,Computer Science,Undergraduate,Pre-Computer Sciences,2020,72,Main,34.5324
College of Science,Ecology & Evolutionary Biology,Graduate,Doctor of Philosophy in Ecology and Evolutionary Biology,2020,40,Main,65.5996425
College of Science,Ecology & Evolutionary Biology,Graduate,Master of Science in Ecology and Evolutionary Biology,2020,7,Main,65.5996425
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Bioinformatics,2020,29,Main,39.277665
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Bioinformatics,2020,3,Main,39.277665
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Biology,2020,855,Main,96.08445
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Biology,2020,5,Main,96.08445
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,11,Main,65.5996425
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,105,Main,65.5996425
College of Science,Ecology & Evolutionary Biology,Undergraduate,Major in Ecology and Evolutionary Biology,2020,7,Main,65.5996425
College of Science,Geosciences,Graduate,Doctor of Philosophy in Geosciences,2020,39,Main,29.662815
College of Science,Geosciences,Graduate,Master of Science in Geosciences,2020,22,Main,29.662815
College of Science,Geosciences,Graduate,Professional Science Masters in Economic Geology,2020,3,Main,29.662815
College of Science,Geosciences,Undergraduate,Major in Geosciences,2020,209,Main,29.662815
College of Science,Geosciences,Undergraduate,Major in Geosciences,2020,2,Main,29.662815
College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Atmospheric Sciences,2020,13,Main,29.662815
College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Hydrology,2020,21,Main,6.0281515
College of Science,Hydrology & Atmospheric Sci,Graduate,Doctor of Philosophy in Hydrometeorology,2020,5,Main,29.662815
College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Atmospheric Sciences,2020,10,Main,10.210935
College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Hydrology,2020,32,Main,6.0281515
College of Science,Hydrology & Atmospheric Sci,Graduate,Master of Science in Hydrometeorology,2020,4,Main,29.662815
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Environmental Hydrology and Water Resources,2020,15,Main,6.0281515
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Hydrology and Atmospheric Sciences,2020,26,Main,29.662815
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Major in Hydrology and Atmospheric Sciences,2020,1,Main,29.662815
College of Science,Hydrology & Atmospheric Sci,Undergraduate,Groundwater,2020,1,Main,83.23392
College of Science,Hydrology and Water Resources,Graduate,Hydrology and Water Resources,2020,1,Main,83.23392
College of Science,Mathematics,Graduate,Doctor of Philosophy in Mathematics,2020,54,Main,83.23392
College of Science,Mathematics,Graduate,Master of Science in Mathematics,2020,8,Main,3.39327
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,68,Main,3.39327
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,6,Main,3.39327
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,319,Main,3.39327
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,1,South,3.39327
College of Science,Mathematics,Undergraduate,Major in Mathematics,2020,120,Main,3.39327
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,30,Main,42.871752
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,2,Main,42.871752
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,89,Main,42.871752
College of Science,Mathematics,Undergraduate,Major in Statistics and Data Science,2020,31,Main,42.871752
College of Science,Mathematics,Undergraduate,Adv High School Math Scholars,2020,9,Community,3.39327
College of Science,Molecular and Cellular Biology,Graduate,Doctor of Philosophy in Molecular and Cellular Biology,2020,24,Main,39.277665
College of Science,Molecular and Cellular Biology,Graduate,Master of Science in Molecular and Cellular Biology,2020,4,Main,39.277665
College of Science,Molecular and Cellular Biology,Undergraduate,Major in Molecular and Cellular Biology,2020,449,Main,39.277665
College of Science,Molecular and Cellular Biology,Undergraduate,Major in Molecular and Cellular Biology,2020,101,Main,39.277665
College of Science,Molecular and Cellular Biology,Undergraduate,Molecular&Cellular Bio Hi Sch,2020,149,Community,39.277665
College of Science,Physics,Graduate,Doctor of Philosophy in Physics,2020,108,Main,24.9338425
College of Science,Physics,Graduate,Master of Science in Physics,2020,7,Main,24.9338425
College of Science,Physics,Graduate,Professional Science Masters in Medical Physics,2020,2,Main,242.053704
College of Science,Physics,Undergraduate,Major in Applied Physics,2020,12,Main,24.9338425
College of Science,Physics,Undergraduate,Major in Applied Physics,2020,2,Main,24.9338425
College of Science,Physics,Undergraduate,Major in Physics,2020,6,Main,24.9338425
College of Science,Physics,Undergraduate,Major in Physics,2020,246,Main,24.9338425
College of Science,Physics,Undergraduate,Major in Physics,2020,74,Main,24.9338425
College of Science,Planetary Sciences,Graduate,Doctor of Philosophy in Planetary Sciences,2020,40,Main,12.40239
College of Science,Planetary Sciences,Graduate,Master of Science in Planetary Sciences,2020,2,Main,12.40239
College of Science,Psychology,Graduate,Doctor of Philosophy in Psychology,2020,86,Main,138.443418
College of Science,Psychology,Graduate,Master of Arts in Psychology,2020,33,Main,138.443418
College of Science,Psychology,Undergraduate,Major in Psychological Science,2020,215,Main,20.133846
College of Science,Psychology,Undergraduate,Major in Psychological Science,2020,5,Main,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,1387,Main,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,316,Online,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,37,South,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,65,Main,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,1,Online,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,64,Main,20.133846
College of Science,Psychology,Undergraduate,Major in Psychology,2020,13,Main,20.133846
College of Science,Psychology,Undergraduate,Pre-Psychological Science,2020,508,Main,20.133846
College of Science,Sch of Mind Brain & Behavior,Undergraduate,Major in Neuroscience and Cognitive Science,2020,231,Main,20.133846
College of Science,Sch of Mind Brain & Behavior,Undergraduate,Major in Neuroscience and Cognitive Science,2020,6,Main,20.133846
College of Science,Sch of Mind Brain & Behavior,Undergraduate,Pre-Neuroscience and Cognitive Science,2020,420,Main,20.133846
College of Science,Science Administration,Undergraduate,Community Science Scholars,2020,1,Community,122.533788
College of Science,Science Administration,Undergraduate,No Major Selected Science,2020,95,Main,27.211428
College of Science,Speech Language & Hearing Sci,Graduate,Doctor of Audiology,2020,40,Main,11.797968
College of Science,Speech Language & Hearing Sci,Graduate,"Doctor of Philosophy in Speech, Language and Hearing Sciences",2020,14,Main,24.960208
College of Science,Speech Language & Hearing Sci,Graduate,Bilingual Audiology,2020,2,Main,11.797968
College of Science,Speech Language & Hearing Sci,Graduate,Bilingual Speech-Language Pathology,2020,29,Main,11.797968
College of Science,Speech Language & Hearing Sci,Graduate,"Master of Science in Speech, Language and Hearing Sciences",2020,64,Main,11.797968
College of Science,Speech Language & Hearing Sci,Undergraduate,"Major in Speech, Language and Hearing Sciences",2020,228,Main,11.797968
College of Science,Speech Language & Hearing Sci,Undergraduate,"Major in Speech, Language and Hearing Sciences",2020,1,Main,11.797968
College of Social & Behav Sci,AZ Center for Judaic Studies,Undergraduate,Major in Judaic Studies,2020,5,Main,24.960208
College of Social & Behav Sci,AZ Center for Judaic Studies,Undergraduate,Major in Judaic Studies,2020,2,Main,24.960208
College of Social & Behav Sci,American Indian Studies Prog,Undergraduate,Major in American Indian Studies,2020,12,Main,10.5
College of Social & Behav Sci,American Indian Studies Prog,Undergraduate,Major in American Indian Studies,2020,6,Main,10.5
College of Social & Behav Sci,College of Social & Behav Sci,Graduate,Human Rights Practice,2020,4,Online,12.08907
College of Social & Behav Sci,College of Social & Behav Sci,Graduate,Master of Arts in Human Rights Practice,2020,63,Online,12.08907
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,14,Main,4.218375
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,1,Main,4.218375
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,94,Main,4.218375
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,1,Main,4.218375
College of Social & Behav Sci,College of Social & Behav Sci,Undergraduate,Major in Global Studies,2020,20,Main,4.218375
College of Social & Behav Sci,Communication,Graduate,Doctor of Philosophy in Communication,2020,17,Main,132.495594
College of Social & Behav Sci,Communication,Graduate,Master of Arts in Communication,2020,11,Main,132.495594
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,950,Main,132.495594
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,119,Online,132.495594
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,32,Main,132.495594
College of Social & Behav Sci,Communication,Undergraduate,Major in Communication,2020,1,Online,132.495594
College of Social & Behav Sci,English,Graduate,Doctor of Philosophy in English,2020,47,Main,58.033185
College of Social & Behav Sci,English,Graduate,"Doctor of Philosophy in Rhetoric, Composition and Teaching of English",2020,38,Main,58.033185
College of Social & Behav Sci,English,Graduate,Teaching English as a Second or Foreign Language,2020,3,Online,58.033185
College of Social & Behav Sci,English,Graduate,Master of Arts in English,2020,8,Main,58.033185
College of Social & Behav Sci,English,Graduate,"Master of Arts in Rhetoric, Composition and Teaching of English",2020,7,Main,58.033185
College of Social & Behav Sci,English,Graduate,Master of Arts in Teaching English as a Second Language,2020,18,Main,58.033185
College of Social & Behav Sci,English,Graduate,Master of Fine Arts in Creative Writing,2020,36,Main,58.033185
College of Social & Behav Sci,English,Undergraduate,Major in Creative Writing,2020,189,Main,58.033185
College of Social & Behav Sci,English,Undergraduate,Major in Creative Writing,2020,68,Main,58.033185
College of Social & Behav Sci,English,Undergraduate,Major in English,2020,255,Main,58.033185
College of Social & Behav Sci,English,Undergraduate,Major in English,2020,6,South,58.033185
College of Social & Behav Sci,English,Undergraduate,Major in English,2020,36,Main,58.033185
College of Social & Behav Sci,English,Undergraduate,Professional and Technical Writing,2020,26,Main,58.033185
College of Social & Behav Sci,English,Undergraduate,Professional and Technical Writing,2020,1,Online,58.033185
College of Social & Behav Sci,Gender and Womens Studies,Graduate,Doctor of Philosophy in Gender & Women's Studies,2020,17,Main,68.132295
College of Social & Behav Sci,Gender and Womens Studies,Graduate,Gender & Women's Studies,2020,2,Main,68.132295
College of Social & Behav Sci,Gender and Womens Studies,Graduate,Master of Arts in Gender & Women's Studies,2020,1,Main,68.132295
College of Social & Behav Sci,Gender and Womens Studies,Undergraduate,Major in Gender & Women's Studies,2020,30,Main,68.132295
College of Social & Behav Sci,Gender and Womens Studies,Undergraduate,Major in Gender & Women's Studies,2020,14,Main,68.132295
College of Social & Behav Sci,History,Graduate,Doctor of Philosophy in History,2020,38,Main,68.132295
College of Social & Behav Sci,History,Graduate,Master of Arts in History,2020,10,Main,1.92591
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,238,Main,1.92591
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,63,Online,1.92591
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,3,South,1.92591
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,30,Main,1.92591
College of Social & Behav Sci,History,Undergraduate,Major in History,2020,1,Online,1.92591
College of Social & Behav Sci,Journalism,Graduate,Master of Arts in Journalism,2020,26,Main,26.04798
College of Social & Behav Sci,Journalism,Undergraduate,Major in Journalism,2020,375,Main,26.04798
College of Social & Behav Sci,Journalism,Undergraduate,Major in Journalism,2020,24,Main,26.04798
College of Social & Behav Sci,Latin American Area Center,Graduate,Master of Arts in Latin American Studies,2020,22,Main,10.5
College of Social & Behav Sci,Latin American Area Center,Undergraduate,Major in Latin American Studies,2020,10,Main,10.5
College of Social & Behav Sci,Latin American Area Center,Undergraduate,Major in Latin American Studies,2020,13,Main,10.5
College of Social & Behav Sci,Linguistics,Graduate,Doctor of Philosophy in Anthropology and Linguistics,2020,6,Main,4.7400395
College of Social & Behav Sci,Linguistics,Graduate,Doctor of Philosophy in Linguistics,2020,51,Main,58.033185
College of Social & Behav Sci,Linguistics,Graduate,Master of Arts in Linguistics,2020,15,Main,58.033185
College of Social & Behav Sci,Linguistics,Graduate,Master of Science in Human Language Technology,2020,14,Main,58.033185
College of Social & Behav Sci,Linguistics,Undergraduate,Major in Linguistics,2020,113,Main,58.033185
College of Social & Behav Sci,Linguistics,Undergraduate,Major in Linguistics,2020,11,Main,58.033185
College of Social & Behav Sci,Mexican American Studies,Graduate,Doctor of Philosophy in Mexican American Studies,2020,13,Main,10.5
College of Social & Behav Sci,Mexican American Studies,Graduate,Master of Science in Mexican American Studies,2020,6,Main,10.5
College of Social & Behav Sci,Mexican American Studies,Undergraduate,Major in Mexican American Studies,2020,19,Main,10.5
College of Social & Behav Sci,Mexican American Studies,Undergraduate,Major in Mexican American Studies,2020,10,Main,10.5
College of Social & Behav Sci,Philosophy,Graduate,Doctor of Philosophy in Philosophy,2020,43,Main,24.960208
College of Social & Behav Sci,Philosophy,Graduate,Master of Arts in Philosophy,2020,6,Main,24.960208
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,91,Main,24.960208
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,27,Online,24.960208
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,21,Main,24.960208
College of Social & Behav Sci,Philosophy,Undergraduate,Major in Philosophy,2020,3,Online,24.960208
