College Name,Department Name,Academic Career,Plan Description,Academic Year,Headcount,Campus,Demand
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Graduate,Master of Science in Family and Consumer Sciences,2020,2,Main,30.579945
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,34,Distance,277.105745
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,167,Main,277.105745
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,3,South,277.105745
College of Agric and Life Sci,"Family & Consumer Sci, Sch",Undergraduate,Major in Family Studies and Human Development,2020,2,Main,277.105745
College of Agric and Life Sci,Family Studies and Human Dev,Undergraduate,Pre-Family Studies & Human Development,2020,15,Distance,170.69003
College of Agric and Life Sci,Family Studies and Human Dev,Undergraduate,Pre-Family Studies & Human Development,2020,222,Main,170.69003
College of Agric and Life Sci,Family Studies and Human Dev,Undergraduate,Pre-Family Studies & Human Development,2020,2,South,170.69003
College of Agric and Life Sci,Family and Consumer Sciences,Undergraduate,Major in Personal and Family Financial Planning,2020,63,Main,170.69003
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Graduate,Doctor of Philosophy in Natural Resources,2020,42,Main,83.23392
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Graduate,Master of Science in Natural Resources,2020,23,Main,83.23392
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Graduate,"Master of Science in Water, Society & Policy",2020,11,Main,83.23392
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Major in Natural Resource,2020,12,Main,83.23392
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Major in Natural Resources,2020,259,Main,83.23392
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Geographic Information Science,2020,8,Main,404.5043835
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,International Environmental Conservation,2020,3,Main,65.5996425
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Rangeland Management,2020,2,Main,15.45012
College of Agric and Life Sci,"Nat Resources & Eviron, Sch",Undergraduate,Zoo and Aquarium Conservation,2020,31,Main,15.45012
College of Agric and Life Sci,Nutritional Sciences,Graduate,Doctor of Philosophy in Nutritional Sciences,2020,12,Main,47.577597
College of Agric and Life Sci,Nutritional Sciences,Graduate,Applied Nutrition,2020,2,Online,47.577597
College of Agric and Life Sci,Nutritional Sciences,Graduate,Master of Science in Nutritional Sciences,2020,4,Main,47.577597
College of Agric and Life Sci,Nutritional Sciences,Graduate,Professional Science Masters in Applied Nutrition,2020,10,Online,47.577597
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutrition and Food Systems,2020,36,Main,47.577597
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutrition and Food Systems,2020,1,Main,47.577597
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,7,Distance,47.577597
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,616,Main,47.577597
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,20,Online,47.577597
College of Agric and Life Sci,Nutritional Sciences,Undergraduate,Major in Nutritional Sciences,2020,9,Main,47.577597
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Doctor of Philosophy in Plant Pathology,2020,6,Main,12.489435
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Doctor of Philosophy in Plant Science,2020,15,Main,12.489435
College of Agric and Life Sci,"Plant Sciences, Sch",Graduate,Master of Science in Plant Pathology,2020,1,Main,12.489435
